Date,asset1,holdings1,cash1,total asset1,return1,positions1,asset2,holdings2,cash2,total asset2,return2,positions2,z,total asset,z upper limit,z lower limit
2014-07-15,4.84250020980835,18324.020793914795,1798.9602165222168,20122.98101043701,0.003775068150773331,0.0,4.53000020980835,-19438.230900287628,41154.63130950928,21716.40040922165,0.02221802955878749,0.0,0.7664590914258105,41839.38141965866,0.45594600925079265,-0.37031754716565835
2014-07-16,4.837500095367432,18305.10036087036,1798.9602165222168,20104.060577392578,-0.0009402400685375456,0.0,4.659999847412109,-19996.05934524536,41154.63130950928,21158.571964263916,-0.025686966276457945,0.0,1.0876684142383244,41262.632541656494,0.45594600925079265,-0.37031754716565835
2014-07-17,4.824999809265137,18257.799278259277,1798.9602165222168,20056.759494781494,-0.002352812379817215,0.0,4.570000171661377,-19609.87073659897,41154.63130950928,21544.76057291031,0.0182521112151921,0.0,0.8861726025515946,41601.5200676918,0.45594600925079265,-0.37031754716565835
2014-07-18,4.610000133514404,-17444.240505218506,36687.44122695923,19243.200721740723,-0.040562822386759345,-2.0,3.8299999237060547,16434.52967262268,8285.571964263916,24720.101636886597,0.1473834463479191,2.0,-0.6237839000949075,43963.30235862732,0.45594600925079265,-0.37031754716565835
2014-07-21,4.637499809265137,-17548.299278259277,36687.44122695923,19139.14194869995,-0.005407560548033374,0.0,3.7799999713897705,16219.979877233505,8285.571964263916,24505.55184149742,-0.008679163158011871,0.0,-0.7807827475436759,43644.69379019737,0.45594600925079265,-0.37031754716565835
2014-07-22,4.617499828338623,-17472.61935043335,36687.44122695923,19214.82187652588,0.003954196485337569,0.0,3.799999952316284,16305.799795389175,8285.571964263916,24591.37175965309,0.003502060215201608,0.0,-0.7062102036519737,43806.19363617897,0.45594600925079265,-0.37031754716565835
2014-07-23,4.519999980926514,-17103.679927825928,36687.44122695923,19583.7612991333,0.019200772454630144,0.0,3.759999990463257,16134.159959077835,8285.571964263916,24419.73192334175,-0.006979677180634081,0.0,-0.6754923989518022,44003.49322247505,0.45594600925079265,-0.37031754716565835
2014-07-24,4.527500152587891,-17132.060577392578,36687.44122695923,19555.38064956665,-0.001449192988678183,0.0,3.7300000190734863,16005.43008184433,8285.571964263916,24291.002046108246,-0.005271551613982184,0.0,-0.7579193262574477,43846.382695674896,0.45594600925079265,-0.37031754716565835
2014-07-25,4.447500228881836,-16829.340866088867,36687.44122695923,19858.10036087036,0.015480123692218628,0.0,3.759999990463257,16134.159959077835,8285.571964263916,24419.73192334175,0.005299488139235864,0.0,-0.5806557938918432,44277.83228421211,0.45594600925079265,-0.37031754716565835
2014-07-28,4.429999828338623,-16763.11935043335,36687.44122695923,19924.32187652588,0.0033347356721997734,0.0,3.7300000190734863,16005.43008184433,8285.571964263916,24291.002046108246,-0.005271551613982184,0.0,-0.630379583247738,44215.323922634125,0.45594600925079265,-0.37031754716565835
